pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,closed_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
2774,6,2,0,Internals,technoweenie,2017-12-07 20:11:15,310,86,14,0,"Implements #2712 for Batch API calls.

There is a problem here though. Currently, Transfer Queues and Git Scanners are scoped for a single remote. The updated `newUploadQueue()` builds a new Transfer Queue with the current remote ref.

That's fine, except the `pre-push` hook is called with the correct remote ref, and it supports multiple refs.

```
echo ""refs/heads/master master refs/heads/tracked 0000000000000000000000000000000000000000"" \
 | git lfs pre-push origin master
```

This should be calling `objects/batch` at least once for each ref. I made some changes to `commands/uploader.go` to initialize a new Transfer Queue and Git Scanner, but ran into a deadlock issue deep in the Git Scanner.",714,True,en,5
2740,1,0,0,Externals,takpare,2017-11-18 22:37:29,17,16,1,0,…d before bailing,19,False,da,0
2721,3,1,0,Internals,technoweenie,2017-11-07 19:47:13,5,2,1,0,"Running #2716, with some extra output to see how long CI waits on these files.",78,False,en,1
2666,2,2,5,Externals,arguiot,2017-10-15 03:43:12,36,0,2,0,"Hello 👋, I added PRs and issues templates, to fit in the community guidelines.",81,False,en,0
2628,1,0,0,Internals,technoweenie,2017-09-28 15:19:25,28,0,1,0,,0,False,en,1
2589,1,5,0,Externals,sschuberth,2017-09-15 15:27:45,2,2,1,0,"This way binaries that come with this installer are given precedence
over any previously installed Git LFS binaries shipping with Git for
Windows. Users can then run this installer to get a more recent version
of Git LFS than the one coming with Git for Windows without the need to
wait for a new Git for Windows release with updated bundled Git LFS
binaries.

Closes #2587.",381,False,en,0
2544,1,1,0,Internals,technoweenie,2017-09-01 22:09:15,57,5,2,0,"Adds a `--all` flag to `git lfs clone` that runs `git lfs fetch --all` right after the `git clone` command.

I realize the command is deprecated as of https://github.com/git-lfs/git-lfs/pull/2526. This is a simple change, and a little useful (see https://github.com/git-lfs/git-lfs/issues/2532#issuecomment-326634994 for use case). Is it worth keeping the `git lfs clone` command around, or should we continue on with the deprecation?

IMO, with the upcoming `delay` filter capabilities, the main need for `git lfs clone` is gone, so we should reject this PR.",563,True,en,1
2451,4,2,0,Externals,sebokart,2017-07-28 23:11:40,310,0,10,0,,0,False,en,4
2418,25,0,0,Externals,t-kin,2017-07-13 22:22:12,140,815,34,0,"
",2,True,en,6
2398,1,0,0,Internals,ttaylorr,2017-07-09 22:05:08,0,0,0,0,"This backports #2385.

Conflicting files:",41,True,en,0
2387,1,8,0,Externals,mlajszczak,2017-07-05 15:36:06,14,7,3,0,"Adjusting the batch size might increase download/upload performance
significantly.

E.g. in cases where concurrent download/upload of objects is very fast
but the server has high latency the latter becomes a bottleneck and
increasing batch size might help.",261,False,en,0
2370,1,0,0,Internals,technoweenie,2017-06-29 21:14:51,0,0,0,0,"This backports #2369.

Conflicting files:",41,True,en,0
2321,1,0,0,Externals,wisielec,2017-06-11 19:28:33,0,159,1,0,done,4,False,en,0
2320,1,0,0,Externals,wisielec,2017-06-11 19:25:11,0,162,1,0,done,4,False,en,0
2319,250,0,0,Externals,wisielec,2017-06-11 19:20:23,25860,13795,488,0,,0,False,en,45
2318,1,0,0,Externals,wisielec,2017-06-11 19:15:00,0,162,1,0,,0,False,en,0
2317,250,0,0,Externals,wisielec,2017-06-11 19:10:45,25860,13795,488,0,,0,False,en,45
2316,1,0,0,Externals,wisielec,2017-06-11 04:18:36,1,0,1,0,,0,False,en,0
2305,4,0,0,Internals,ttaylorr,2017-06-07 17:49:42,54,0,2,0,"🚧 

---

/cc @git-lfs/core ",34,True,he,0
2293,48,0,0,Externals,love-jiw,2017-06-03 18:16:26,3277,583,40,0,"
[potential-garbanzo-master-3.zip](https://github.com/git-lfs/git-lfs/files/1049777/potential-garbanzo-master-3.zip)
",119,False,lt,11
2275,23,0,0,Externals,didswit1,2017-05-29 10:49:32,759,114,30,0,,0,False,en,11
2239,1,0,0,Internals,technoweenie,2017-05-19 14:00:10,1,1,1,0,"This backports #2232.

Conflicting files:",41,True,en,0
