pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
1396,1,0,0,Externals,jaythomas,2017-10-14T14:57:01Z,14,0,1,0,"[editorconfig](http://editorconfig.org/) is a great way to set some file formatting conventions for a project and have your text editor automatically apply them. Though many linters like eslint or standard should detect those with the right rules enabled, this tells the user's editor the right way to do it and saves the hassle of failed tests because of simple indentation issues or Windows-created files with CRLF line endings.",430,False,en,0
1395,1,0,0,Externals,Eliada,2017-10-11T05:50:52Z,1,1,1,4,"the --compilers flag is deprecated and will be removed in a future version of Mocha
https://github.com/mochajs/mocha/wiki/compilers-deprecation

Using the --require flag instead",180,False,en,0
1391,1,0,0,Externals,rodrigoaguilera,2017-09-16T14:53:07Z,2,0,1,0,,0,False,en,0
1390,2,0,0,Externals,slawekzachcial,2017-09-16T15:26:21Z,60,5,2,6,"Robot 'send', 'reply', 'messageRoom' methods delegate invocations to
adapter but using as 'this' the robot while they should be using the adapter.
Robot 'on', 'emit' methods delegate invocations to events but using as
'this' the robot but they should be using the events.

The original CoffeeScript code from release 2.19.0 uses simple delegation, i.e. [send](https://github.com/hubotio/hubot/blob/c0f6bdf947c5271c2cac5d48730320b129c2e44f/src/robot.coffee#L542), [reply](https://github.com/hubotio/hubot/blob/c0f6bdf947c5271c2cac5d48730320b129c2e44f/src/robot.coffee#L552), [messageRoom](https://github.com/hubotio/hubot/blob/c0f6bdf947c5271c2cac5d48730320b129c2e44f/src/robot.coffee#L562), [on](https://github.com/hubotio/hubot/blob/c0f6bdf947c5271c2cac5d48730320b129c2e44f/src/robot.coffee#L573), [emit](https://github.com/hubotio/hubot/blob/c0f6bdf947c5271c2cac5d48730320b129c2e44f/src/robot.coffee#L583). This PR should address #1386.",943,False,en,1
1381,2,0,0,Externals,coryallegory,2017-08-05T03:48:24Z,7,6,1,0,"The current documentation has users installing https://github.com/bfcamara/hubot-azure-scripts for azure blob storage support. The lib hasn't been updated in awhile and could be simplified. My refactor requires only a single environment variable for an azure storage connection string, and allows disabling of the azure connectivity when running hubot unit tests outside of the scope of the brain scripts. The latter removes some of the discouraging barriers casual scripters at my workplace have run into when trying to get involved with our inhouse hubot instance.

Also included a troubleshooting tip to do with kudu not downloading all declared dependencies in Azure, which was a very frustrating and ""mysterious"" issue that took awhile to figure out at my workplace.",773,True,en,0
1372,2,0,0,Externals,lornajane,2017-08-05T03:14:59Z,61,60,2,16,I tried to use the deploy instructions for Bluemix but they're a little outdated so I've updated them now my own hubot is running happily there.  This also adds the missing Bluemix and Azure deployment instructions to the list of deployment info on the index page.,264,False,en,0
1364,1,1,0,Externals,gr2m,2017-06-29T15:18:13Z,2,2,1,0,closes #1363 ping @technicalpickles,35,False,en,0
1361,8,3,0,Externals,gr2m,2017-06-28T16:20:47Z,40,597,5,1,"see

- https://github.com/hubotio/evolution/pull/6
- https://github.com/hubotio/evolution/blob/4/javascript/_drafts/javascript.md#publish-hubot300-with---tagnext

for a release to happen, we have to add another commit which can be done using `--allow-empty`. `hubot@3` comes with a new feature and 3 breaking changes. The commit can look as follows:

```
feat: `require('hubot/es2015')` exports native ECMAScript 2015 classes

BREAKING CHANGE: node@0.10 and node@0.12 are no longer supported
BREAKING CHANGE: Deep requires like `require('hubot/src/adapter')` are no longer supported, use `require('hubot').Adapter` instead.
BREAKING CHANGE: `Middleware.ticker()` has been removed. Use `process.nextTick()` instead.
```",731,True,en,1
1360,2,7,0,Externals,gr2m,2017-06-26T22:07:44Z,52,0,2,0,part of https://github.com/hubotio/evolution/pull/4,51,False,en,1
1359,2,0,2,Externals,gr2m,2017-06-28T15:29:09Z,200,1,2,2,part of https://github.com/hubotio/evolution/pull/4,51,False,en,1
1358,1,0,2,Externals,gr2m,2017-06-26T22:40:05Z,2,2,1,1,addresses https://github.com/hubotio/evolution/pull/4#discussion_r123839362,75,False,en,0
1357,2,2,0,Externals,gr2m,2017-06-26T16:27:58Z,20,0,2,1,closes #1355,12,False,en,1
1353,1,2,0,Internals,technicalpickles,2017-06-23T21:46:30Z,3,0,1,6,"Without this, any message is responded to, including someone entering or
leaving. Most common case is responding to text, so make sure to check
for that in the docs, and explain why.

Fixes https://github.com/hubotio/hubot/issues/1055",238,False,en,0
