pull_request,number_of_commits,number_of_comments,number_of_reviews,user_type,user_login,merged_at,number_of_additions,number_of_deletions,number_of_files_changed,number_of_days,message,number_of_characters,second_line_is_blank,language,number_of_test_files
16570,1,0,0,Externals,UziTech,2018-01-16T05:37:47Z,3,3,1,0,"### Description of the Change


Update documentation to point to {GitRepository} instead of {Repository}

",111,True,en,0
16548,1,0,0,Externals,MoritzKn,2018-01-13T01:02:47Z,7,0,1,0,"This is a follow up of #15498

### Description of the Change

Adds a comment that links to the relevant specification for a function.

### Alternate Designs

None

### Why Should This Be In Core?

The documented function is in core

### Benefits

Future changes are more likely to be in line with the spec too

### Possible Drawbacks

None

### Verification Process

None

### Applicable Issues

None
",430,True,en,0
16546,3,2,0,Internals,as-cii,2018-01-15T09:08:26Z,17,19,6,2,"### Description of the Change

Previously, we would assign dock elements a minimum width/height of 2 pixels so that we could detect when the mouse approached the edge of a hidden dock in order to show the chevron buttons. This, however, was causing confusion for users, who expected that extra space to be clickable in order to scroll editors located in the center dock.

With this pull request we will instead register a global `mousemove` event on the window right when attaching the workspace element to the DOM (the event handler is debounced, so this shouldn't have any performance consequence). Then, when the mouse moves, we will programmatically detect when it approaches to the edge of a dock and show the chevron button accordingly. This allows us to remove the `min-width` property from the dock container element, which eliminates the confusing behavior described above.

### Alternate Designs

None.

### Possible Drawbacks

This pull request registers a global mouse move event handler and it could be problematic if we did a lot of work inside of it. However, this handler is debounced and runs only after 100ms since the mouse has stopped moving.

### Verification Process

See https://github.com/atom/atom/issues/14803.

### Applicable Issues

Fixes https://github.com/atom/atom/issues/14803

/cc: @simurai @maxbrunsfeld @matthewwithanm for your previous work on docks.",1408,True,en,0
16542,1,8,6,Internals,daviwil,2018-01-12T21:52:47Z,76,9,2,1,"### Description of the Change

This change fixes #13829 which reports that the `softWrapped` setting of an untitled TextEditor is lost when the buffer is saved to a file.  This is caused by logic that updates TextEditor settings when the buffer's language mode changes.

The fix is to mark some editor settings as ""preserved"" so that they do not get change when switching between two language modes that do not have a different value for those preserved settings.

### Alternate Designs

@maxbrunsfeld and I looked into this together and tried to make TextBuffer not use `NullLanguageMode` as the default but instead a `text.plain` mode to avoid the apparent language mode change that caused the user's original issue.  It turned out that this solution would affect setting changes when going from an untitled buffer to a saved text buffer, so it wasn't sufficiently general.  This seemingly small change also had a pretty big impact on existing tests so it seemed too risky as a fix for such a narrow use case.

### Benefits

This solution allows us to easily mark a subsection of `TextEditor` settings to be preserved when the buffer's language mode changes.  This will cause less user confusion while still allowing buffers to have other relevant settings to be updated to reflect the new mode.

### Possible Drawbacks

The current algorithm for checking value changes is not as efficient as it could be.  I was about to try to change `TextEditorRegistry.textEditorParamsForScope` to use chained underscore collection methods but I didn't want to disrupt the current design any more before getting some feedback.

### Verification Process

Verified using @lee-dohm's excellent verification steps in his comment below.

### Applicable Issues

#13829 
",1778,True,en,0
16533,9,4,2,Internals,jasonrudolph,2018-01-11T15:40:56Z,9,3,1,0,"### Motivation

We'd like to add support for a ""dev"" release channel (in addition to the beta and stable release channels). The dev channel would represent the latest successful build on the master branch.

The primary goal is to make it easy to run a package's CI suite against the current Atom master branch to detect potential issues early, as opposed to only discovering issues after master branch is promoted to the next beta release. For example, if teletype's CI suite periodically ran teletype's tests against an Atom dev channel, it would have automatically exposed the issue in https://github.com/atom/teletype/issues/300, instead of us having to manually discover that issue. 😅 

### Making it happen

For macOS on Circle CI, and rpm and debian on Travis CI, we're already producing the necessary build artifacts to support a dev channel.

For Windows on AppVeyor, the installer task produces the build artifacts that we need ([x64 example](https://ci.appveyor.com/project/Atom/atom/build/9355/job/g0vwhhtj59nv283q/artifacts), [x86 example](https://ci.appveyor.com/project/Atom/atom/build/9355/job/wypnj96kr308iioo/artifacts)). As of https://github.com/atom/atom/pull/15208, we only run the installer task on release branches (e.g., `1.23-releases`). We skip the installer task on all other branches, including master. As a result, our builds on the master branch don't provide the necessary artifacts for a dev channel (e.g., [x64 example](https://ci.appveyor.com/project/Atom/atom/build/9371/job/egys9532ba9c59x3/artifacts), [x86 example](https://ci.appveyor.com/project/Atom/atom/build/9371/job/egys9532ba9c59x3/artifacts)).

In addition to running the installer task on release branches, **this pull request aims to update the AppVeyor build to also run the installer task on the master branch.**
",1828,True,en,0
16530,2,0,0,Internals,as-cii,2018-01-10T13:33:25Z,25,11,2,0,"### Description of the Change

This pull request fixes a race condition in the `attemptRestoreProjectStateForPaths` function that could cause a file to be opened more than once within the same workspace pane.

In particular, when opening some file into an empty window, Atom tries to recover the state for the project containing the file (if there is one). However, we were previously not waiting until the `AtomEnvironment`'s state had been fully deserialized before trying to load the requested file into the workspace. If the same file also existed in the serialized representation of the workspace, it could end up being opened twice.

With this pull request we will now wait until the environment has been fully deserialized before honoring the user's request of loading new files into an empty window.

### Alternate Designs

None.

### Benefits

Other than fixing https://github.com/atom/atom/issues/16364, these changes also improve tests, which now verify more thoroughly the behavior of `attemptRestoreProjectStateForPaths`.

### Possible Drawbacks

None.

### Verification Process

See reproduction steps in https://github.com/atom/atom/issues/16364.

### Applicable Issues

Fixes https://github.com/atom/atom/issues/16364",1259,True,en,0
16524,2,0,0,Internals,maxbrunsfeld,2018-01-10T05:29:56Z,9,14,2,0,"Fixes #16517

This PR fixes two performance problems we've observed when [the new `core.useTreeSitterParsers` feature flag](https://github.com/atom/atom/pull/16299) is enabled.

1. https://github.com/atom/atom/issues/16517. For certain types of syntax errors, the parser would accidentally try thousands of different error recoveries due to a gap in Tree-sitter's logic for limiting the effort spent on error recovery. I've addressed that gap in https://github.com/tree-sitter/tree-sitter/commit/dafa897021b12a23bb55042c6ef3748f5e807b37.

2. When editing large files, the `TreeSitterHighlightIterator.seek` method spent a lot of time iterating through long lists of syntax nodes looking for the node that contains a given character index in the document. In https://github.com/tree-sitter/tree-sitter/pull/123, I've added a new native API for quickly finding that node: `ASTNode.firstChildForIndex`.

There are still bugs and performance issues when using the new parsing system which I plan to address next month, but these two were particularly egregious.
  ",1069,True,en,0
16521,3,2,2,Internals,damieng,2018-01-09T21:34:42Z,22,24,2,0,We should remove the protocol handler if never is set however the electron unregister does not appear to work so blow away the registry key instead.  This is only possible on Windows.,183,False,en,0
16518,1,0,0,Internals,as-cii,2018-01-09T17:10:13Z,38,4,2,0,"🍐'd with @nathansobo 

### Description of the Change

This pull request updates the ""add selection below/above"" command to only create new selections if they will not be contained within an existing selection.

### Benefits

Other than improving the performance of the above commands, this fixes https://github.com/atom/atom/issues/14622 by preventing the need to merge redundant intersecting selections, which was causing selections to be reversed when adding selections above.

### Alternate Designs

* Change the behavior of `mergeIntersectingSelections` to be smarter about the directionality of the resulting merged selections. However, those selections never needed to exist in the first place so we decided to ignore this path.
* Change `TextEditor.addSelectionForBufferRange` to re-use selections when the supplied range is contained by an existing selection. We decided to not go with this approach because of the risk of breaking public APIs.

### Possible Drawbacks

Unclear.

### Verification Process

See the reproduction steps at https://github.com/atom/atom/issues/14622.

### Applicable Issues

Fixes https://github.com/atom/atom/issues/14622.",1187,True,en,0
16515,2,0,0,Internals,as-cii,2018-01-09T15:28:02Z,6,3,1,0,"Refs: https://github.com/atom/atom/pull/16511

This fixes a bug that was causing text to be covered up by selections due to the highlights container being rendered above the editor tiles.

| Before                                                                                                        | After                                                                                                        |
|---------------------------------------------------------------------------------------------------------------|--------------------------------------------------------------------------------------------------------------|
| ![before](https://user-images.githubusercontent.com/482957/34721486-3163a256-f543-11e7-97ce-7f1d15e010d1.gif) | ![after](https://user-images.githubusercontent.com/482957/34721487-3180121a-f543-11e7-8b0f-8ce59894c8e5.gif) |

I have tested that this pull-request doesn't re-introduce the issue fixed in https://github.com/atom/atom/pull/16511.

/cc: @nathansobo ",1011,True,en,0
